Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Entos Pharmaceuticals/ Cytiva,Vaccine,DNA-based,Pre-clinical,Phase I/II expected to begin March 2021,DNA; (Covigenix),NCT04591184,Canadian Institutes of Health Research (CIHR)/ Research Nova Scotia (RNS)/ Institute for Ageing (IA)/ National Research Council of Canada Industrial Research Assistance Program (NRC IRAP),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/27/2021
"Globe Biotech Limited, Bangladesh",Vaccine,DNA-based,Pre-clinical,Unknown,DNA plasmid vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Immunomic Therapeutics/ EpiVax/ PharmaJet,Vaccine,DNA-based,Pre-clinical,Unknown,"DNA; plasmid vaccine, needle-free delivery",,Unknown,,Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Mediphage Bioceuticals/ University of Waterloo/ Lambton College,Vaccine,DNA-based,Pre-clinical,Unknown,DNA; msDNA-VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
"National
  Research Centre, Egypt",Vaccine,DNA-based,Pre-clinical,Unknown,"DNA; plasmid vaccine S, S1, S2, RBD & N",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
"National Institute of Chemistry, Slovenia",Vaccine,DNA-based,Pre-clinical,Unknown,"Plasmid DNA, nanostructured RBD",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
OPENCORONA Project: Karolinska Institute/ Justus Liebig University Giessen/ Public Health Agency of Sweden (FoHM)/ IGEA/ Cobra Biologics/ Adlego Biomedical/ Region Stockholm,Vaccine,DNA-based,Pre-clinical,Phase I expected to begin in 2020,DNA with electroporation,,European Commission (Horizon 2020 Program),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Scancell/ University of Nottingham/ Nottingham Trent University,Vaccine,DNA-based,Pre-clinical,Phase I COVIDITY clinical trial expected to start as soon as possible during 2021,DNA; plasmid vaccine RBD&N,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
"Statens Serum Institute, Denmark",Vaccine,DNA-based,Pre-clinical,Phase I is expected to start in late 2020 or early 2021,DNA; (CoVAXIX) plasmid vaccine,,Folketing's Finance Committee,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Takis/ Applied DNA Sciences/ Evvivax/ Rottapharm Biotech,Vaccine,DNA-based,Pre-clinical,"Phase I/II expected to begin March 2021, announced the authorization of the clinical trial by the Italian Medicines Agency (AIFA) on 2/3/2021; Pre-clinical results released in May and July 2020",DNA (COVID-eVax),EudraCT 2020-003734-20,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/25/2021
University of Cambridge/ DIOSynVax/ PharmaJet,Vaccine,DNA-based,Pre-clinical,Phase I expected to begin late fall 2020 or early 2021,DNA; (DIOS-CoVax2) synthetic gene inserts compatible with multiple delivery systems ,,Innovate UK,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/28/2020
Beijing Institute of Biological Products/ Sinopharm ,Vaccine,Inactivated virus,Phase III,"Hungary granted ""emergency use"" approval on 1/29/2021; Pakistan granted ""emergency use authorization"" on 1/18/2021; China ""granted conditional market approval"" on 12/31/2020; Midterm clinical results released on 12/30/2020; Bahrain National Health Regulatory Authority (NHRA) ""approved"" on 12/13/2020; UAE Ministry of Health and Prevention (MOHAP) announced ""official registration"" on 12/9/2020, following review of Phase III interim analysis; Phase I/II results published October 2020; Phase III trial began July 2020; Received early approval for ""emergency use"" in China (Aug 2020) and the UAE (Sep 2020)","Inactivated, (BBIBP-CorV)","ChiCTR2000032459, ChiCTR2000034780, NCT04510207, NCT04560881",Unknown,"The Lancet (https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30831-8/fulltext), National Medical Products Administration (http://english.nmpa.gov.cn/2020-12/30/c_578717.htm)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
Bharat Biotech/ Indian Council of Medical Research/ National Institute of Virology/ Ocugen/ Precisa Medicamentos,Vaccine,Inactivated virus,Phase III,"Phase III interim analysis results announced 3/3/2021; Neutralization of UK-variant with vaccine-elicited sera announced January 2021; India granted ""permission for emergency use"" on 01/03/2021; Phase I and II safety and immunogenicity data released December 2020 and published January 2021; Phase III began November 2020; Phase I/II study: Phase I began July 2020 and Phase II began September 2020, initial results expected September 2020; Animal study results released September 2020",Inactivated; whole-virion (COVAXIN) (BBV152),"CTRI/2020/07/026300, NCT04471519, CTRI/2020/09/027674, CTRI/2020/11/028976, NCT04641481",Unknown,"medRxiv (https://www.medrxiv.org/content/10.1101/2020.12.11.20210419v1), medRxiv (https://www.medrxiv.org/content/10.1101/2020.12.21.20248643v1), The Lancet (https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30942-7/fulltext), bioRxiv (https://www.biorxiv.org/content/10.1101/2021.01.26.426986v2)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/4/2021
"Institute of Medical Biology, Chinese Academy of Medical Sciences",Vaccine,Inactivated virus,Phase III,"Phase III dosed (Malaysia) late January 2021; Phase II began June 2020; Phase I began May 2020, results released October 2020",Inactivated,"NCT04412538, NCT04470609, NCT04659239",Unknown,medRxiv (https://www.medrxiv.org/content/10.1101/2020.09.27.20189548v1),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
"Research Institute for Biological Safety Problems, Republic of Kazakhstan",Vaccine,Inactivated virus,Phase III,"Kazakhstan granted ""temporary registration for nine months"" as of 1/13/2021; Phase III began December 2020; Phase I/II began September 2020","Inactivated, (QazCovid-in®)","NCT04530357, NCT04691908",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
Sinovac/ Instituto Butantan/ Bio Farma,Vaccine,Inactivated virus,Phase III,"China's NMPA granted ""conditional marketing authorization"" on 2/8/2021; Phase III results (Brazil, Turkey, Indonesia, Chile) announced on 2/5/2021; Phase I/II safety, tolerability, and immunogenicity data in adults aged 60 years and older published on 2/3/2021; Sinovac filed for ""conditional market authorization"" with China’s National Medical Products Administration (NMPA) on 2/3/2021; Chile granted ""emergency use"" approval on 1/20/2021; Brazil granted ""temporary authorization for emergency use"" on 1/17/2021; Turkey granted ""emergency use authorization"" on 1/31/2021; Indonesia granted ""emergency use approval"" on 01/11/2021; Phase III efficacy results (Brazil) released early January 2021; Phase I/II complete analysis results published 11/17/2020; Phase III trial resumed in Brazil on 11/11/2020, Phase III trial suspended in Brazil on 11/09/2020; Received approval for Phase I/II trial in adolescents and children in September 2020; Phase III trial began end of July 2020; Phase II began June 2020, mid-phase II results released August 2020; Preliminary results from Phase I/II trials released June and September 2020 (aged 60+) 2020; Received early approval for ""emergency use"" in China (Aug 2020)",Inactivated (inactivated + alum); CoronaVac (formerly PiCoVacc),"NCT04383574, NCT04352608, NCT04456595,  NCT04551547, NCT04508075, NCT04582344, NCT04617483, NCT04651790, 669/UN6.KEP/EC/2020",Unknown,"Sinovac (http://www.sinovac.com/?optionid=754&auto_id=904), medRxiv (https://www.medrxiv.org/content/10.1101/2020.07.31.20161216v1), http://www.sinovac.com/?optionid=754&auto_id=910, The Lancet (https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30843-4/fulltext), The Lancet (https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30987-7/fulltext), Sinovac (http://www.sinovac.com/?optionid=754&auto_id=922)",Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/11/2021
Wuhan Institute of Biological Products/ Sinopharm,Vaccine,Inactivated virus,Phase III,"Applied for regulatory approval in China as of February 2021; Phase III trial began July 2020; Phase I/II early trial results released June 2020, Phase I/II interim analysis published August 2020; Received early approval for ""emergency use"" in China (Aug 2020) and the UAE (Sep 2020)",Inactivated," ChiCTR2000031809, ChiCTR2000034780, ChiCTR2000039000, NCT04510207, NCT04612972",Unknown,"CNBG (https://www.cnbg.com.cn/content/details_12_5545.html), JAMA (https://jamanetwork.com/journals/jama/fullarticle/2769612)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/22/2021
Erciyes University,Vaccine,Inactivated virus,Phase II,"Phase II dosed February 2021; Phase I began November 2020, completed on December 14, 2020 ",Inactivated; (ERUCOV-VAC),NCT04691947,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/12/2021
"Shenzhen Kangtai Biological Products Co.,Ltd./ Beijing Minhai Biotechnology Co., Ltd.",Vaccine,Inactivated virus,Phase II,Phase I/II study began October 2020,Inactivated SARS-CoV-2 vaccine (Vero cell),"ChiCTR2000038804, ChiCTR2000039462 ",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
"Valneva/ Dynavax/ National Institute for Health Research, United Kingdom",Vaccine,Inactivated virus,Phase I/II,Phase I/II began December 2020,"Inactivated (Inactivated + CpG 1018), VLA2001",NCT04671017,Unknown,,Same platform as vaccine candidates for Japanese Encephalitis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
Shifa Pharmed Industrial Co,Vaccine,Inactivated virus,Phase I,Phase I began end of December 2020,COVID-19 inactivated vaccine (COVIran Barekat),IRCT20201202049567N1,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/4/2021
"Government
  Pharmaceutical Organization (GPO; Thailand) / Dynavax / PATH",Vaccine,Inactivated virus,Pre-clinical,Unknown,"Egg-based, inactivated, whole chimeric Newcastle Disease Virus (NDV) expressing membrane-anchored pre-fusion-stabilized trimeric SARS-CoV-2 S protein (Hexapro) + CpG 1018",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"Institute
  Butantan (Brazil) / Dynavax / PATH",Vaccine,Inactivated virus,Pre-clinical,Unknown,"Egg-based, inactivated, whole chimeric Newcastle Disease Virus (NDV) expressing membrane-anchored pre-fusion-stabilized trimeric SARS-CoV-2 S protein (Hexapro) + CpG 1018",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Institute of Vaccines and Medical Biologicals (IVAC; Vietnam) / Dynavax / PATH,Vaccine,Inactivated virus,Pre-clinical,Unknown,"Egg-based, inactivated, whole chimeric Newcastle Disease Virus (NDV) expressing membrane-anchored pre-fusion-stabilized trimeric SARS-CoV-2 S protein (Hexapro) + CpG 1018",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
KM Biologics,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated (inactivated + alum),,Unknown,,"Same platform as vaccine candidates for JE, Zika",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Kocak Farma Ilac ve Kimya San. A.S.,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"National Research Centre, Egypt",Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated whole virus,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Osaka University / BIKEN / NIBIOHN,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Selcuk University,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Sinovac/ Dynavax,Vaccine,Inactivated virus,Pre-clinical,Unknown,Inactivated + adjuvant (CpG 1018),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Codagenix / Serum Institute of India,Vaccine,Live attenuated virus,Phase I,"Phase I trial dosed January 2021, initial data expected by mid-2021; Phase I recruitment began December 2020","Single-dose, intranasal, live attenuated vaccine, (COVI-VAC)",NCT04619628,Unknown,,"Same platform as vaccine candidates for HAV, InfA, ZIKV, FMD, SIV, RSV, DENV ",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
Indian Immunologicals Ltd/ Griffith University,Vaccine,Live attenuated virus,Pre-clinical,Unknown,Codon deoptimized live attenuated virus,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Mehmet Ali Aydinlar University/ Acıbadem Labmed Health Services A.S.,Vaccine,Live attenuated virus,Pre-clinical,Unknown,Codon deoptimized live attenuated vaccines,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Meissa Vaccines ,Vaccine,Live attenuated virus,Pre-clinical,Start Phase 1 beginning of 2021,MV-014-210,,Unknown,,Same platform as vaccine candidates for RSV,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/2/2020
Janssen Pharmaceutical Companies/ Beth Israel Deaconess Medical Center/ Emergent BioSolutions/ Catalent/ Biological E/ Grand River Aseptic Manufacturing (GRAM)/ Sanofi/ Merck,Vaccine,Non-replicating viral vector,Authorized,"Granted ""Interim Order (IO) authorization"" for emergency use by Health Canada on 3/5/2021; U.S. CDC's Advisory Committee on Immunization Practices (ACIP) has recommended the first single-shot COVID-19 vaccine for individuals 18 years of age and older on 2/28/2021; U.S. FDA issued ""emergency use authorization"" on 2/27/2021; Submitted ""emergency use listing"" to the World Health Organization (WHO) on 2/19/2021; Submitted ""conditional marketing authorisation application"" to the European Medicines Agency (EMA) on 2/16/2021; Janssen submitted application for ""emergency use authorization"" to the U.S. FDA on 2/4/2021; Phase III interim analysis results announced 1/29/2021; Phase I/IIa interim results published 1/13/2021; Phase III trial to study the safety and efficacy of a two-dose regimen began 11/15/2020 (ENSEMBLE 2); Phase III trial (ENSEMBLE) resumed recruitment on 10/23/2020, fully enrolled with ~45,000 participants as of 12/17/2020, interim data expected by the end of January 2021; Janssen Pharmaceutical Companies of Johnson & Johnson voluntarily paused dosing to allow independent review of safety data on 10/12/2020; Phase III trial (ENSEMBLE) began and study protocol released September 2020; Phase I/IIa began end of July 2020, interim results released September 2020; Animal study results published July and September 2020; Selected for US Operation Warp Speed in February 2020 and awarded funding in August 2020","Ad26.COV2-S (or JNJ-78436725), Non replicating viral vector; Ad26 (alone or with MVA boost)","EudraCT 2020-002584-63, ISRCTN14722499, NCT04436276, NCT04505722, NCT04509947, NCT04535453, NCT04614948, NCT04765384",Biomedical Advanced Research and Development Authority (BARDA),"medRxiv (https://www.medrxiv.org/content/10.1101/2020.09.23.20199604v1), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2034201), Johnson & Johnson (https://www.jnj.com/johnson-johnson-announces-single-shot-janssen-covid-19-vaccine-candidate-met-primary-endpoints-in-interim-analysis-of-its-phase-3-ensemble-trial)","Same platform as vaccine candidates for Ebola, HIV, RSV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/9/2021
"University of Oxford, Oxford Biomedica, Vaccines Manufacturing and Innovation Centre, Pall Life Sciences, Cobra Biologics, HalixBV, Advent s.r.l., Merck KGaA, the Serum Institute, Vaccitech, Catalent, CSL, and AstraZeneca/IQVIA",Vaccine,Non-replicating viral vector,Authorized,"World Health Organization (WHO) granted Emergency Use Listing (EUL) on 2/15/2021; Phase II study in children between the ages of 6 and 17 years expected to begin in February 2021; Phase III (U.K., Brazil) and Phase I/II (U.K., South Africa) analyses data released on 2/3/2021; European Union (EU) granted ""conditional marketing authorisation"" on 1/29/2021; Brazil granted ""temporary authorization for emergency use"" on 1/17/2021; Pakistan granted ""emergency use authorization"" on 1/15/2021; India granted ""emergency use authorisation"" as well as Dominican Republic, El Salvador, Mexico and Morocco as of 1/6/2021; Argentina authorized under ""emergency registration"" on 12/30/2020;  U.K. ""authorised for emergency supply"" on 12/30/2020; Phase I/II data (w/ booster dose) published on 12/17/2020; Phase III trials interim analysis results published 12/8/2020; Phase II/III (COV002) and Phase III (COV003) trial pooled interim analysis results released on 11/23/2020; Phase II/III trial interim results released Nov 2020; Study protocol for late-stage clinical trials released September 2020; AstraZeneca clinical trials resumed globally (in the UK on 9/14/2020, Brazil and South Africa on 9/15/2020, Japan on 10/2/2020, and the US on 10/23/2020); AstraZeneca voluntarily paused vaccination to allow independent review of safety data on 9/8/2020; Phase III trial began Jun 2020 and expanded into US in Aug 2020; Phase II/III began May 2020; Phase I/II trial interim results released Jul 2020; Selected for US Operation Warp Speed in May 2020","Non replicating viral vector; COVID-19 Vaccine AstraZeneca (formerly AZD1222), (formerly ChAdOx1), (Covishield in India)"," CTRI/2020/08/027170, EudraCT 2020-001072-15, EudraCT 2020-001228-32, ISRCTN15638344, ISRCTN89951424, NCT04324606, NCT04400838, NCT04444674, NCT04516746, NCT04540393, NCT04568031, NCT04686773, PACTR202005681895696, PACTR202006922165132","Coalition for Epidemic Preparedness Innovations (CEPI)/ UK Government/ Biomedical Advanced Research and Development Authority (BARDA)/ Gavi, the Vaccine Alliance","The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31604-4/fulltext), The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)32466-1/fulltext), AstraZeneca (https://sputnikvaccine.com/newsroom/pressreleases/second-interim-analysis-of-clinical-trial-data-showed-a-91-4-efficacy-for-the-sputnik-v-vaccine-on-d/), The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)32661-1/fulltext), Nature Medicine (https://www.nature.com/articles/s41591-020-01179-4), Nature Medicine (https://www.nature.com/articles/s41591-020-01194-5), Preprints with The Lancet (https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3777268)","Same platform as vaccine candidates for influenza, TB, Chikungunya, Zika, MenB, plague",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/16/2021
CanSino Biologics/ Beijing Institute of Biotechnology/ Petrovax ,Vaccine,Non-replicating viral vector,Phase III,"Filed ""conditional marketing authorization"" with China's National Medical Products Administration (NMPA) on 2/24/2021; Phase III dosed September 2020; Phase II began April 2020, initial results released May 2020, mid-phase results released July 2020; China’s Central Military Commission ""approved the use of the vaccine by the military"" in June 2020","Non-replicating viral vector; Adenovirus Type 5 vector (Ad5-nCoV), (Convidecia™)","ChiCTR2000030906, ChiCTR2000031781, NCT04313127, NCT04341389, NCT04398147, NCT04526990, NCT04540419, NCT04552366, NCT04566770, NCT04568811",Unknown,"The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31208-3/fulltext), The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31605-6/fulltext)",Same platform as vaccine candidates for EBOV  ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/25/2021
